,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,6,360,12367,8151,4232,1002,.533,.396,.832,34.4,22.6,11.8,2.8,50.6,.196,4.8,21.3
2,2,LAL,D'Angelo Russell,Ohio State,6,325,9445,5692,1200,1707,.421,.357,.770,29.1,17.5,3.7,5.3,8.5,.043,0.3,5.5
3,3,PHI,Jahlil Okafor,Duke,6,225,4537,2449,1120,214,.539,.222,.675,20.2,10.9,5.0,1.0,6.8,.071,-1.9,0.1
4,4,NYK,Kristaps Porziņģis,,4,243,7578,4476,1857,350,.434,.358,.803,31.2,18.4,7.6,1.4,17.3,.109,1.2,6.0
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,6,357,8308,3405,2230,559,.540,.200,.611,23.3,9.5,6.2,1.6,20.9,.121,0.1,4.3
7,7,DEN,Emmanuel Mudiay,,5,300,7176,3296,884,1139,.401,.323,.744,23.9,11.0,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,6,315,6369,2052,1016,448,.373,.292,.755,20.2,6.5,3.2,1.4,3.4,.026,-2.8,-1.4
9,9,CHO,Frank Kaminsky,Wisconsin,6,326,7069,3153,1307,531,.422,.346,.748,21.7,9.7,4.0,1.6,12.5,.085,-0.6,2.5
10,10,MIA,Justise Winslow,Duke,5,241,6848,2181,1295,657,.417,.337,.646,28.4,9.0,5.4,2.7,7.7,.054,-1.8,0.3
11,11,IND,Myles Turner,Texas,6,350,9923,4448,2320,427,.488,.352,.770,28.4,12.7,6.6,1.2,27.1,.131,0.6,6.5
12,12,UTA,Trey Lyles,Kentucky,6,355,6352,2607,1500,376,.433,.341,.706,17.9,7.3,4.2,1.1,10.3,.078,-1.2,1.2
13,13,PHO,Devin Booker,Kentucky,6,350,11740,7855,1272,1647,.449,.354,.869,33.5,22.4,3.6,4.7,17.7,.072,-0.2,5.3
14,14,OKC,Cameron Payne,Murray State,6,169,2782,1064,325,442,.408,.351,.790,16.5,6.3,1.9,2.6,3.3,.057,-1.8,0.2
15,15,ATL,Kelly Oubre Jr.,Kansas,6,356,8591,3867,1488,332,.428,.323,.777,24.1,10.9,4.2,0.9,11.6,.065,-2.1,-0.2
16,16,BOS,Terry Rozier,Louisville,6,343,7845,3389,1274,912,.397,.374,.814,22.9,9.9,3.7,2.7,13.6,.083,0.0,3.9
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,4,200,3096,1094,607,160,.478,.288,.606,15.5,5.5,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,6,279,5563,2023,851,805,.449,.343,.792,19.9,7.3,3.1,2.9,15.1,.131,2.0,5.5
21,21,DAL,Justin Anderson,Virginia,5,226,2964,1182,575,151,.413,.296,.774,13.1,5.2,2.5,0.7,4.6,.074,-1.4,0.5
22,22,CHI,Bobby Portis,Arkansas,6,323,6625,3306,1936,392,.458,.361,.756,20.5,10.2,6.0,1.2,11.6,.084,-1.2,1.3
23,23,POR,Rondae Hollis-Jefferson,Arizona,5,294,6652,2733,1658,566,.448,.213,.738,22.6,9.3,5.6,1.9,12.5,.090,-0.7,2.2
