,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
24,24,CLE,Tyus Jones,Duke,6,320,5813,1792,502,1147,.430,.338,.800,18.2,5.6,1.6,3.6,11.7,.096,-0.1,2.8
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,6,324,7706,2648,2149,598,.536,.329,.690,23.8,8.2,6.6,1.8,21.3,.133,1.3,6.5
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,6,232,3236,1016,857,229,.572,.143,.608,13.9,4.4,3.7,1.0,10.6,.158,-0.6,1.2
31,31,MIN,Cedi Osman,,4,211,5277,2052,742,421,.431,.363,.714,25.0,9.7,3.5,2.0,4.3,.039,-2.9,-1.2
32,32,HOU,Montrezl Harrell,Louisville,6,327,6857,4146,1636,435,.614,.094,.639,21.0,12.7,5.0,1.3,27.1,.190,2.5,7.8
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
35,35,PHI,Willy Hernangómez,,5,210,3013,1445,1134,219,.530,.330,.682,14.3,6.9,5.4,1.0,8.6,.137,0.1,1.6
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,6,278,5288,2374,1413,266,.588,.255,.728,19.0,8.5,5.1,1.0,18.2,.165,0.6,3.4
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,6,322,9902,3999,1020,917,.426,.362,.821,30.8,12.4,3.2,2.8,18.2,.088,-0.4,4.0
41,41,BRK,Pat Connaughton,Notre Dame,6,289,4554,1394,808,366,.444,.349,.793,15.8,4.8,2.8,1.3,10.5,.111,-0.3,1.9
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,6,314,5919,2704,738,405,.453,.362,.818,18.9,8.6,2.4,1.3,11.9,.097,-0.4,2.3
47,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0
57,57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
