,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,4,226,7743,3674,1879,1789,.558,.115,.594,34.3,16.3,8.3,7.9,25.1,.156,3.8,11.4
2,2,LAL,Brandon Ingram,Duke,5,260,8393,4315,1333,853,.460,.360,.728,32.3,16.6,5.1,3.3,10.7,.061,-1.2,1.7
3,3,BOS,Jaylen Brown,California,5,288,7648,3891,1292,426,.473,.373,.681,26.6,13.5,4.5,1.5,15.1,.095,-0.9,2.1
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-4.0,-1.9
5,5,MIN,Kris Dunn,Providence,4,227,5516,1884,760,948,.422,.306,.726,24.3,8.3,3.3,4.2,3.9,.034,-1.8,0.2
6,6,NOP,Buddy Hield,Oklahoma,5,324,9028,5143,1348,714,.439,.408,.865,27.9,15.9,4.2,2.2,12.9,.068,0.5,5.7
7,7,DEN,Jamal Murray,Kentucky,5,304,8937,4775,1092,1118,.440,.359,.876,29.4,15.7,3.6,3.7,16.9,.091,-0.1,4.4
8,8,SAC,Marquese Chriss,Washington,5,258,4992,2052,1263,281,.455,.289,.667,19.3,8.0,4.9,1.1,5.7,.055,-2.3,-0.4
9,9,TOR,Jakob Poeltl,Utah,5,287,4759,1567,1396,297,.635,.500,.528,16.6,5.5,4.9,1.0,16.7,.168,0.8,3.4
10,10,MIL,Thon Maker,,5,261,3605,1205,722,161,.435,.328,.677,13.8,4.6,2.8,0.6,6.6,.088,-2.1,-0.2
11,11,ORL,Domantas Sabonis,Gonzaga,5,299,7736,3696,2412,806,.524,.333,.720,25.9,12.4,8.1,2.7,21.7,.135,0.6,5.0
12,12,UTA,Taurean Prince,Baylor,5,269,7001,3071,1146,507,.412,.366,.820,26.0,11.4,4.3,1.9,5.4,.037,-1.9,0.1
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,4,176,3664,1364,644,359,.403,.369,.759,20.8,7.8,3.7,2.0,3.9,.052,-1.4,0.6
15,15,DEN,Juan Hernangómez,,5,213,3455,1139,738,140,.427,.357,.719,16.2,5.3,3.5,0.7,6.1,.085,-1.7,0.3
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,4,81,749,327,194,44,.372,.343,.774,9.2,4.0,2.4,0.5,0.3,.018,-3.8,-0.3
19,19,DEN,Malik Beasley,Florida State,5,228,4084,1952,475,229,.447,.384,.812,17.9,8.6,2.1,1.0,6.5,.076,-1.3,0.7
20,20,IND,Caris LeVert,Michigan,5,222,5731,2853,826,818,.430,.335,.707,25.8,12.9,3.7,3.7,7.6,.063,-0.6,2.1
21,21,ATL,DeAndre' Bembry,Saint Joseph's,5,193,3687,1175,644,361,.448,.269,.592,19.1,6.1,3.3,1.9,1.0,.013,-2.9,-0.8
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
23,23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot,,5,227,3702,1420,466,193,.401,.339,.832,16.3,6.3,2.1,0.9,3.9,.050,-4.0,-1.8
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
26,26,PHI,Furkan Korkmaz,,4,137,2373,1024,292,138,.412,.373,.770,17.3,7.5,2.1,1.0,3.7,.074,-1.9,0.1
27,27,TOR,Pascal Siakam,New Mexico State,5,282,7408,3663,1583,652,.497,.332,.764,26.3,13.0,5.6,2.3,21.2,.137,1.3,6.1
28,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
29,29,SAS,Dejounte Murray,Washington,4,193,4002,1633,938,592,.452,.344,.744,20.7,8.5,4.9,3.1,6.1,.073,-0.1,1.9
30,30,GSW,Damian Jones,Vanderbilt,5,108,1501,482,324,65,.662,.222,.676,13.9,4.5,3.0,0.6,4.4,.140,-1.7,0.1
31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
32,32,LAL,Ivica Zubac,,5,221,3547,1640,1221,208,.571,.000,.759,16.0,7.4,5.5,0.9,12.8,.173,0.4,2.2
33,33,LAC,Cheick Diallo,Kansas,4,180,2155,947,747,78,.598,.286,.772,12.0,5.3,4.2,0.4,6.3,.140,-1.3,0.4
34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1
35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon,Virginia,5,249,7214,3475,952,1111,.473,.390,.893,29.0,14.0,3.8,4.5,18.8,.125,0.9,5.3
37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1
38,38,MIL,Patrick McCaw,UNLV,4,194,3340,755,316,266,.419,.305,.779,17.2,3.9,1.6,1.4,4.2,.061,-2.8,-0.7
39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1
41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2
42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4
43,43,HOU,Zhou Qi,,2,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2
44,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,
45,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1
46,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2
47,47,ORL,Jake Layman,Maryland,5,172,2364,906,321,96,.455,.304,.739,13.7,5.3,1.9,0.6,3.1,.064,-2.2,-0.1
48,48,CHI,Paul Zipser,,2,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-.001,-5.2,-1.4
49,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1
50,50,IND,Georges Niang,Iowa State,5,165,1626,665,252,89,.433,.383,.827,9.9,4.0,1.5,0.5,2.7,.081,-1.1,0.4
51,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-.473,-25.9,-0.1
52,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0
53,53,DEN,Petr Cornelie,,,,,,,,,,,,,,,,,,
54,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4
55,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0
56,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1
