,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
23,23,UTA,Darius Bazley,,2,68,1344,434,309,53,.403,.339,.730,19.8,6.4,4.5,0.8,1.1,.040,-1.7,0.1
24,24,PHI,Ty Jerome,Virginia,1,31,328,102,46,44,.336,.280,.750,10.6,3.3,1.5,1.4,0.0,-.003,-3.8,-0.2
25,25,POR,Nassir Little,UNC,2,49,581,174,109,22,.434,.237,.636,11.9,3.6,2.2,0.4,0.6,.046,-3.5,-0.2
26,26,CLE,Dylan Windler,Belmont,1,1,9,3,0,0,.200,.250,,9.0,3.0,0.0,0.0,0.0,-.205,-10.3,0.0
27,27,BRK,Mfiondu Kabengele,Florida State,2,18,96,47,15,4,.366,.385,1.000,5.3,2.6,0.8,0.2,0.1,.068,-2.8,0.0
28,28,GSW,Jordan Poole,Michigan,2,63,1345,541,126,139,.337,.280,.813,21.3,8.6,2.0,2.2,-1.2,-.041,-6.5,-1.5
29,29,SAS,Keldon Johnson,Kentucky,2,25,540,265,115,35,.519,.500,.815,21.6,10.6,4.6,1.4,1.4,.128,0.2,0.3
30,30,MIL,Kevin Porter Jr.,USC,1,50,1162,498,162,109,.442,.335,.723,23.2,10.0,3.2,2.2,0.3,.012,-3.8,-0.5
31,31,BRK,Nicolas Claxton,Georgia,1,15,187,66,44,16,.563,.143,.524,12.5,4.4,2.9,1.1,0.5,.121,-0.6,0.1
32,32,PHO,KZ Okpala,Stanford,2,8,60,12,11,1,.455,.000,.333,7.5,1.5,1.4,0.1,0.0,.026,-5.1,0.0
33,33,PHI,Carsen Edwards,Purdue,2,41,380,134,50,26,.336,.309,.684,9.3,3.3,1.2,0.6,0.1,.010,-5.0,-0.3
34,34,PHI,Bruno Fernando,Maryland,2,62,778,250,229,53,.514,.132,.574,12.5,4.0,3.7,0.9,0.9,.054,-4.1,-0.4
35,35,ATL,Didi Louzada,,,,,,,,,,,,,,,,,,
36,36,CHO,Cody Martin,Nevada,2,54,992,257,175,105,.433,.220,.652,18.4,4.8,3.2,1.9,1.1,.056,-2.2,0.0
37,37,DAL,Deividas Sirvydis,,1,1,1,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,-.026,-10.1,0.0
38,38,CHI,Daniel Gafford,Arkansas,2,51,722,269,125,25,.704,,.563,14.2,5.3,2.5,0.5,2.3,.156,-1.0,0.2
39,39,NOP,Alen Smailagić,,1,14,139,59,27,13,.500,.231,.842,9.9,4.2,1.9,0.9,0.2,.081,-2.2,0.0
40,40,SAC,Justin James,Wyoming,2,38,243,93,32,19,.425,.300,.455,6.4,2.4,0.8,0.5,0.2,.030,-1.5,0.0
41,41,GSW,Eric Paschall,Villanova,2,68,1809,931,299,138,.502,.289,.780,26.6,13.7,4.4,2.0,2.7,.071,-2.5,-0.2
42,42,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,.380,.311,.667,11.2,3.0,1.4,0.5,0.1,.017,-5.5,-0.3
43,43,MIN,Jaylen Nowell,Washington,2,16,159,59,14,20,.357,.111,.941,9.9,3.7,0.9,1.3,0.2,.047,-4.1,-0.1
44,44,MIA,Bol Bol,Oregon,2,10,101,40,20,6,.438,.364,.800,10.1,4.0,2.0,0.6,0.0,.015,-5.2,-0.1
45,45,DET,Isaiah Roby,Nebraska,2,7,92,34,19,2,.600,.375,.143,13.1,4.9,2.7,0.3,0.1,.030,-5.6,-0.1
46,46,ORL,Talen Horton-Tucker,Iowa State,2,14,210,89,26,18,.432,.290,.769,15.0,6.4,1.9,1.3,0.4,.095,-1.5,0.0
47,47,SAC,Ignas Brazdeikis,Michigan,2,11,55,19,7,4,.261,.111,.857,5.0,1.7,0.6,0.4,-0.1,-.083,-8.5,-0.1
48,48,LAC,Terance Mann,Florida State,2,49,440,111,72,58,.434,.304,.667,9.0,2.3,1.5,1.2,0.7,.071,-3.4,-0.2
49,49,SAS,Quinndary Weatherspoon,Mississippi State,1,11,78,12,7,11,.294,.200,.500,7.1,1.1,0.6,1.0,-0.1,-.071,-7.4,-0.1
50,50,IND,Jarrell Brantley,College of Charleston,1,9,96,24,20,11,.357,.231,.500,10.7,2.7,2.2,1.2,0.0,-.006,-4.6,-0.1
51,51,BOS,Tremont Waters,LSU,2,14,152,49,14,24,.271,.179,1.000,10.9,3.5,1.0,1.7,-0.4,-.120,-8.2,-0.2
52,52,CHO,Jalen McDaniels,San Diego State,2,23,374,124,84,18,.489,.367,.750,16.3,5.4,3.7,0.8,0.5,.069,-3.9,-0.2
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,55,NYK,Kyle Guy,Virginia,2,6,38,16,6,7,.313,.143,.833,6.3,2.7,1.0,1.2,0.0,.050,-4.0,0.0
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,13,77,23,10,10,.345,.231,,5.9,1.8,0.8,0.8,0.0,-.013,-7.2,-0.1
58,58,GSW,Miye Oni,Yale,2,14,132,38,22,6,.351,.364,.800,9.4,2.7,1.6,0.4,0.1,.047,-4.9,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
