,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,32,920,711,215,59,.577,.375,.638,28.8,22.2,6.7,1.8,2.8,.145,1.9,0.9
2,2,MEM,Ja Morant,Murray State,2,70,2155,1272,266,507,.481,.335,.780,30.8,18.2,3.8,7.2,4.2,.094,0.5,1.4
3,3,NYK,RJ Barrett,Duke,2,64,2009,940,337,170,.400,.303,.631,31.4,14.7,5.3,2.7,-0.2,-.005,-4.1,-1.1
4,4,LAL,De'Andre Hunter,Virginia,2,71,2278,906,339,131,.422,.364,.768,32.1,12.8,4.8,1.8,1.0,.021,-3.8,-1.1
5,5,CLE,Darius Garland,Vanderbilt,2,65,2039,831,131,267,.407,.366,.877,31.4,12.8,2.0,4.1,-0.9,-.021,-5.0,-1.6
6,6,PHO,Jarrett Culver,Texas Tech,2,71,1692,647,261,115,.407,.295,.477,23.8,9.1,3.7,1.6,-0.2,-.006,-4.4,-1.0
7,7,CHI,Coby White,UNC,2,74,1982,1026,276,225,.398,.357,.803,26.8,13.9,3.7,3.0,1.2,.029,-2.8,-0.4
8,8,ATL,Jaxson Hayes,Texas,2,72,1177,497,291,60,.663,.250,.653,16.3,6.9,4.0,0.8,4.1,.168,-0.5,0.4
9,9,WAS,Rui Hachimura,Gonzaga,2,52,1546,700,307,95,.469,.301,.815,29.7,13.5,5.9,1.8,2.1,.064,-3.2,-0.5
10,10,ATL,Cam Reddish,Duke,2,66,1778,693,252,98,.380,.326,.803,26.9,10.5,3.8,1.5,-0.3,-.008,-4.3,-1.1
11,11,MIN,Cameron Johnson,UNC,2,65,1435,609,209,77,.446,.394,.836,22.1,9.4,3.2,1.2,3.4,.115,1.0,1.1
12,12,CHO,P.J. Washington,Kentucky,2,66,1970,797,367,145,.449,.375,.652,29.8,12.1,5.6,2.2,2.2,.053,-1.7,0.1
13,13,MIA,Tyler Herro,Kentucky,2,62,1737,837,269,150,.430,.379,.852,28.0,13.5,4.3,2.4,1.8,.049,-1.9,0.1
14,14,BOS,Romeo Langford,Indiana,1,32,370,79,41,13,.350,.185,.720,11.6,2.5,1.3,0.4,0.2,.025,-4.9,-0.3
15,15,DET,Sekou Doumbouya,,2,46,858,281,141,24,.382,.304,.698,18.7,6.1,3.1,0.5,-0.2,-.012,-6.3,-0.9
16,16,ORL,Chuma Okeke,Auburn,1,5,91,15,13,8,.357,.286,.500,18.2,3.0,2.6,1.6,0.1,.077,-2.6,0.0
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,53,680,317,95,97,.371,.335,.721,12.8,6.0,1.8,1.8,-0.2,-.011,-4.3,-0.4
18,18,IND,Goga Bitadze,,1,54,471,172,106,23,.467,.190,.727,8.7,3.2,2.0,0.4,0.7,.067,-2.3,0.0
19,19,SAS,Luka Šamanić,,2,6,56,20,10,6,.286,.400,.667,9.3,3.3,1.7,1.0,0.0,-.026,-5.4,0.0
20,20,BOS,Matisse Thybulle,Washington,2,74,1400,323,116,87,.415,.345,.619,18.9,4.4,1.6,1.2,2.5,.085,0.2,0.8
21,21,OKC,Brandon Clarke,Gonzaga,2,66,1520,789,388,91,.595,.333,.715,23.0,12.0,5.9,1.4,5.2,.163,2.1,1.6
22,22,BOS,Grant Williams,Tennessee,2,77,1196,282,207,74,.418,.274,.695,15.5,3.7,2.7,1.0,1.7,.069,-2.9,-0.3
