,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,.447,.265,.695,25.6,10.9,3.3,4.6,3.4,.057,-2.2,-0.2
2,2,LAL,Lonzo Ball,UCLA,4,170,5493,1845,1031,1106,.390,.340,.493,32.3,10.9,6.1,6.5,6.2,.054,0.3,3.2
3,3,BOS,Jayson Tatum,Duke,4,234,7474,4139,1405,532,.458,.404,.831,31.9,17.7,6.0,2.3,20.0,.129,1.8,7.1
4,4,PHO,Josh Jackson,Kansas,4,184,4473,2213,791,349,.420,.298,.655,24.3,12.0,4.3,1.9,-1.7,-.018,-3.8,-2.1
5,5,SAC,De'Aaron Fox,Kentucky,4,213,6448,3467,726,1303,.450,.327,.718,30.3,16.3,3.4,6.1,9.4,.070,-0.2,2.9
6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
7,7,MIN,Lauri Markkanen,Arizona,4,174,5300,2813,1318,233,.432,.359,.846,30.5,16.2,7.6,1.3,9.0,.081,-0.2,2.3
8,8,NYK,Frank Ntilikina,,4,182,3839,1084,389,546,.367,.316,.775,21.1,6.0,2.1,3.0,-0.7,-.009,-4.6,-2.5
9,9,DAL,Dennis Smith Jr.,NC State,4,157,4112,1961,495,710,.399,.313,.649,26.2,12.5,3.2,4.5,-1.6,-.019,-2.7,-0.8
10,10,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,17.5,5.7,4.0,0.9,3.9,.069,-2.6,-0.4
11,11,CHO,Malik Monk,Kentucky,4,192,3291,1639,360,325,.395,.321,.847,17.1,8.5,1.9,1.7,1.0,.014,-2.9,-0.7
12,12,DET,Luke Kennard,Duke,4,173,4038,1690,483,369,.442,.404,.864,23.3,9.8,2.8,2.1,7.2,.085,-1.0,1.1
13,13,DEN,Donovan Mitchell,Louisville,4,233,7869,5270,945,947,.437,.354,.822,33.8,22.6,4.1,4.1,15.7,.096,1.3,6.6
