,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
14,14,MIA,Bam Adebayo,Kentucky,4,230,5920,2482,1769,689,.558,.139,.715,25.7,10.8,7.7,3.0,20.5,.166,2.1,6.1
15,15,POR,Justin Jackson,UNC,4,216,4213,1410,562,225,.431,.319,.793,19.5,6.5,2.6,1.0,5.0,.057,-2.8,-0.9
16,16,CHI,Justin Patton,Creighton,3,9,49,16,11,5,.368,.167,.500,5.4,1.8,1.2,0.6,0.0,.015,-5.5,0.0
17,17,MIL,D.J. Wilson,Michigan,4,112,1369,450,339,82,.411,.327,.565,12.2,4.0,3.0,0.7,2.2,.077,-2.8,-0.3
18,18,IND,T.J. Leaf,UCLA,3,139,1203,465,278,42,.491,.341,.571,8.7,3.3,2.0,0.3,2.7,.107,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,4,184,5204,2993,1612,293,.570,.366,.762,28.3,16.3,8.8,1.6,17.4,.160,1.2,4.2
20,20,POR,Harry Giles,Duke,3,109,1529,740,425,147,.524,.182,.681,14.0,6.8,3.9,1.3,2.5,.079,-2.4,-0.1
21,21,OKC,Terrance Ferguson,,4,195,3966,922,263,143,.405,.336,.753,20.3,4.7,1.3,0.7,4.6,.055,-4.0,-2.0
22,22,BRK,Jarrett Allen,Texas,4,231,5609,2336,1835,279,.612,.167,.697,24.3,10.1,7.9,1.2,21.4,.183,1.3,4.7
23,23,TOR,OG Anunoby,Indiana,4,217,5146,1730,787,221,.480,.361,.655,23.7,8.0,3.6,1.0,11.3,.105,-0.4,2.2
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5
26,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma,Utah,4,217,6480,3432,1177,410,.449,.332,.732,29.9,15.8,5.4,1.9,9.2,.069,-1.5,0.8
28,28,LAL,Tony Bradley,UNC,4,71,745,314,301,26,.623,.750,.647,10.5,4.4,4.2,0.4,3.4,.218,0.4,0.5
29,29,SAS,Derrick White,Colorado,4,153,3567,1491,497,514,.468,.363,.817,23.3,9.7,3.2,3.4,8.2,.111,1.1,2.8
30,30,UTA,Josh Hart,Villanova,4,203,5158,1734,1004,290,.428,.350,.712,25.4,8.5,4.9,1.4,9.1,.084,-0.8,1.6
31,31,CHO,Frank Jackson,Duke,2,120,1966,866,217,130,.422,.319,.743,16.4,7.2,1.8,1.1,0.6,.015,-5.0,-1.5
32,32,PHO,Davon Reed,Miami (FL),2,31,289,75,45,16,.307,.310,.667,9.3,2.4,1.5,0.5,-0.2,-.039,-6.3,-0.3
33,33,ORL,Wesley Iwundu,Kansas State,4,186,3226,882,454,190,.420,.319,.791,17.3,4.7,2.4,1.0,4.3,.064,-3.3,-1.1
34,34,SAC,Frank Mason III,Kansas,3,99,1537,670,192,260,.397,.298,.757,15.5,6.8,1.9,2.6,1.2,.038,-2.4,-0.1
35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,SMU,4,206,2884,663,416,84,.394,.345,.678,14.0,3.2,2.0,0.4,3.9,.064,-3.5,-1.1
38,38,CHI,Jordan Bell,Oregon,3,154,1853,578,472,194,.563,.222,.638,12.0,3.8,3.1,1.3,4.9,.126,0.5,1.2
39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,Florida State,4,143,2353,787,339,145,.409,.346,.723,16.5,5.5,2.4,1.0,0.6,.012,-4.9,-1.7
41,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,.389,.350,.669,16.1,6.7,2.3,1.3,1.0,.030,-3.1,-0.5
42,42,UTA,Thomas Bryant,Indiana,4,141,2954,1525,855,194,.601,.364,.750,21.0,10.8,6.1,1.4,10.4,.169,1.8,2.8
43,43,HOU,Isaiah Hartenstein,,3,57,538,187,156,36,.577,.182,.673,9.4,3.3,2.7,0.6,1.6,.142,-2.2,0.0
44,44,NYK,Damyean Dotson,Oregon,4,173,3484,1331,446,238,.419,.357,.713,20.1,7.7,2.6,1.4,3.2,.045,-2.3,-0.2
45,45,HOU,Dillon Brooks,Oregon,4,181,5034,2343,563,328,.417,.357,.779,27.8,12.9,3.1,1.8,2.3,.022,-4.2,-2.8
46,46,PHI,Sterling Brown,SMU,4,170,2696,901,525,164,.423,.354,.778,15.9,5.3,3.1,1.0,4.3,.077,-2.0,0.0
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,48,MIL,Sindarius Thornwell,South Carolina,4,141,1514,362,189,90,.420,.346,.683,10.7,2.6,1.3,0.6,1.2,.036,-2.8,-0.3
49,49,DEN,Vlatko Čančar,,2,16,50,17,10,3,.375,.167,1.000,3.1,1.1,0.6,0.2,0.0,.004,-7.0,-0.1
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,4,166,3846,1608,351,585,.480,.396,.805,23.2,9.7,2.1,3.5,10.8,.135,0.7,2.7
52,52,NOP,Edmond Sumner,Xavier,4,56,661,220,71,65,.406,.263,.585,11.8,3.9,1.3,1.2,0.5,.039,-3.7,-0.3
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.0,0.2
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
