,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
40,40,BRK,Rodions Kurucs,,3,114,1992,752,386,103,.448,.333,.738,17.5,6.6,3.4,0.9,2.4,.058,-2.7,-0.3
41,41,ORL,Jarred Vanderbilt,Kentucky,3,34,203,74,64,16,.580,.000,.552,6.0,2.2,1.9,0.5,0.4,.098,-0.2,0.1
42,42,DET,Bruce Brown,Miami (FL),3,137,3137,851,469,327,.426,.301,.739,22.9,6.2,3.4,2.4,3.6,.055,-2.2,-0.2
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,3,104,1558,569,297,63,.454,.244,.596,15.0,5.5,2.9,0.6,1.3,.041,-3.9,-0.8
46,46,HOU,De'Anthony Melton,USC,3,113,2213,721,361,343,.396,.293,.765,19.6,6.4,3.2,3.0,1.8,.038,-1.4,0.3
47,47,LAL,Sviatoslav Mykhailiuk,Kansas,3,106,1847,707,156,154,.389,.379,.792,17.4,6.7,1.5,1.5,1.8,.046,-2.4,-0.2
48,48,MIN,Keita Bates-Diop,Ohio State,3,76,1249,439,210,47,.424,.303,.699,16.4,5.8,2.8,0.6,1.5,.058,-2.3,-0.1
49,49,SAS,Chimezie Metu,USC,3,48,255,116,69,23,.442,.200,.767,5.3,2.4,1.4,0.5,0.0,.004,-3.8,-0.1
50,50,IND,Alize Johnson,Missouri State,2,31,182,47,67,8,.356,.400,.611,5.9,1.5,2.2,0.3,0.3,.081,-3.7,-0.1
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.4,-0.1
54,54,DAL,Shake Milton,SMU,3,69,1306,591,138,152,.461,.379,.792,18.9,8.6,2.0,2.2,3.1,.114,-1.5,0.2
55,55,CHO,Arnoldas Kulboka,,,,,,,,,,,,,,,,,,
56,56,PHI,Ray Spalding,Louisville,1,14,148,54,48,5,.532,.000,.333,10.6,3.9,3.4,0.4,0.2,.051,-5.1,-0.1
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
59,59,PHO,George King,Colorado,1,1,6,0,1,0,,,,6.0,0.0,1.0,0.0,0.0,-.001,-7.9,0.0
60,60,PHI,Kostas Antetokounmpo,Dayton,3,8,39,9,8,2,.375,,.500,4.9,1.1,1.0,0.3,0.0,-.054,-7.5,-0.1
